fund_name,symbol,position_date,fund_price,reference_price,price_difference
Applebead.28-02-2023 breakdown,TJX,,75.98,,
Applebead.28-02-2023 breakdown,SYY,,73.6,,
Applebead.28-02-2023 breakdown,PNR,,55.52,,
Applebead.28-02-2023 breakdown,AXP,,172.76,,
Applebead.28-02-2023 breakdown,COP,,101.14,,
Applebead.28-02-2023 breakdown,DGX,,136.97,,
Applebead.28-02-2023 breakdown,WYNN,,107.84,,
Applebead.28-02-2023 breakdown,STT,,87.18,,
Applebead.28-02-2023 breakdown,META,,174.94,,
Applebead.28-02-2023 breakdown,ANSS,,303.61,,
Applebead.28-02-2023 breakdown,MHK,,102.85,,
Applebead.28-02-2023 breakdown,GOOG,,90.3,,
Applebead.28-02-2023 breakdown,TEL,,126.13,,
Applebead.28-02-2023 breakdown,NWL,,14.57,,
Applebead.28-02-2023 breakdown,MMC,,160.98,,
Applebead.28-02-2023 breakdown,SO,,61.83,,
Applebead.28-02-2023 breakdown,CRL,,219.34,,
Applebead.28-02-2023 breakdown,GWW,,664.83,,
Applebead.28-02-2023 breakdown,QRVO,,100.89,,
Applebead.28-02-2023 breakdown,MCO,,288.76,,
Applebead.28-02-2023 breakdown,EBAY,,45.38,,
Applebead.28-02-2023 breakdown,REGN,,760.42,,
Applebead.28-02-2023 breakdown,AVY,,181.3,,
Applebead.28-02-2023 breakdown,BK,,49.97,,
Applebead.28-02-2023 breakdown,IFF,,91.33,,
Applebead.28-02-2023 breakdown,CPRT,,35.23,,
Applebead.28-02-2023 breakdown,LEN,,96.13,,
Applebead.28-02-2023 breakdown,TPR,,42.91,,
Applebead.28-02-2023 breakdown,ACGL,,70.0,,
Applebead.28-02-2023 breakdown,HAL,,36.04,,
Applebead.28-02-2023 breakdown,PTC,,125.33,,
Applebead.28-02-2023 breakdown,ROK,,292.49,,
Applebead.28-02-2023 breakdown,LLY,,309.75,,
Applebead.28-02-2023 breakdown,LYV,,72.06,,
Applebead.28-02-2023 breakdown,AZO,,2486.54,,
Applebead.28-02-2023 breakdown,EW,,80.44,,
Applebead.28-02-2023 breakdown,CAG,,35.71,,
Applebead.28-02-2023 breakdown,CPB,,51.75,,
Applebead.28-02-2023 breakdown,ENPH,,210.53,,
Applebead.28-02-2023 breakdown,DRI,,140.73,,
Applebead.28-02-2023 breakdown,IEX,,223.62,,
Applebead.28-02-2023 breakdown,ARE,,146.67,,
Applebead.28-02-2023 breakdown,WAT,,310.89,,
Applebead.28-02-2023 breakdown,LYB,,92.28,,
Applebead.28-02-2023 breakdown,TFC,,45.31,,
Applebead.28-02-2023 breakdown,SLB,,52.92,,
Applebead.28-02-2023 breakdown,DAL,,38.26,,
Applebead.28-02-2023 breakdown,HOLX,,79.64,,
Applebead.28-02-2023 breakdown,SEDG,,317.92,,
Applebead.28-02-2023 breakdown,EXR,,160.08,,
Applebead.28-02-2023 breakdown,BR,,139.39,,
Applebead.28-02-2023 breakdown,ODFL,,338.83,,
Applebead.28-02-2023 breakdown,XYL,,102.31,,
Applebead.28-02-2023 breakdown,PEP,,171.17,,
Applebead.28-02-2023 breakdown,CSCO,,47.7,,
Applebead.28-02-2023 breakdown,FOXA,,35.02,,
Applebead.28-02-2023 breakdown,BBY,,81.15,,
Applebead.28-02-2023 breakdown,NL0011819040,,104.36,,
Applebead.28-02-2023 breakdown,SE0008014062,,122.57,,
Applebead.28-02-2023 breakdown,ES0000012852,,124.44,,
Applebead.28-02-2023 breakdown,US912810FQ68,,231.93,,
Applebead.28-02-2023 breakdown,GB00B421JZ66,,311.7,,
Applebead.28-02-2023 breakdown,AU0000XCLWV6,,161.06,,
Applebead.28-02-2023 breakdown,GB00BNNGP882,,213.06,,
Applebead.28-02-2023 breakdown,GB00BYMWG366,,219.99,,
Applebead.28-02-2023 breakdown,US912810FH69,,234.48,,
Applebead.28-02-2023 breakdown,BE0000331406,,163.72,,
Applebead.28-02-2023 breakdown,US912828ZZ63,,120.69,,
Applebead.28-02-2023 breakdown,FR0014001N38,,122.57,,
Applebead.28-02-2023 breakdown,US912810RW09,,154.81,,
Applebead.28-02-2023 breakdown,US91282CDC29,,110.2,,
Applebead.28-02-2023 breakdown,JP1300521G93,,98.12,,
Applebead.28-02-2023 breakdown,IT0003745541,,179.25,,
Applebead.28-02-2023 breakdown,AU3TB0000135,,117.12,,
Applebead.28-02-2023 breakdown,ES00000127C8,,132.27,,
Applebead.28-02-2023 breakdown,AU0000XCLWP8,,149.2,,
Applebead.28-02-2023 breakdown,ES00000127G9,,109.23,,
Applebead.28-02-2023 breakdown,JP1103451GC0,,100.85,,
Applebead.28-02-2023 breakdown,USDCURR,,,,
Applebead.30-04-2023 breakdown,TJX,,78.19,,
Applebead.30-04-2023 breakdown,SYY,,76.22,,
Applebead.30-04-2023 breakdown,PNR,,57.89,,
Applebead.30-04-2023 breakdown,AXP,,160.79,,
Applebead.30-04-2023 breakdown,COP,,101.31,,
Applebead.30-04-2023 breakdown,DGX,,138.1,,
Applebead.30-04-2023 breakdown,WYNN,,113.72,,
Applebead.30-04-2023 breakdown,STT,,71.64,,
Applebead.30-04-2023 breakdown,META,,240.32,,
Applebead.30-04-2023 breakdown,ANSS,,313.92,,
Applebead.30-04-2023 breakdown,MHK,,105.9,,
Applebead.30-04-2023 breakdown,GOOG,,108.22,,
Applebead.30-04-2023 breakdown,TEL,,121.22,,
Applebead.30-04-2023 breakdown,NWL,,12.05,,
Applebead.30-04-2023 breakdown,MMC,,179.53,,
Applebead.30-04-2023 breakdown,SO,,72.11,,
Applebead.30-04-2023 breakdown,CRL,,190.12,,
Applebead.30-04-2023 breakdown,GWW,,691.82,,
Applebead.30-04-2023 breakdown,QRVO,,92.08,,
Applebead.30-04-2023 breakdown,MCO,,311.62,,
Applebead.30-04-2023 breakdown,EBAY,,46.16,,
Applebead.30-04-2023 breakdown,REGN,,801.79,,
Applebead.30-04-2023 breakdown,AVY,,173.63,,
Applebead.30-04-2023 breakdown,BK,,42.2,,
Applebead.30-04-2023 breakdown,IFF,,95.96,,
Applebead.30-04-2023 breakdown,CPRT,,39.52,,
Applebead.30-04-2023 breakdown,LEN,,112.47,,
Applebead.30-04-2023 breakdown,TPR,,40.53,,
Applebead.30-04-2023 breakdown,ACGL,,75.07,,
Applebead.30-04-2023 breakdown,HAL,,32.58,,
Applebead.30-04-2023 breakdown,PTC,,125.79,,
Applebead.30-04-2023 breakdown,ROK,,281.06,,
Applebead.30-04-2023 breakdown,LLY,,393.99,,
